"id","locality","Coordinates (°N)","Coordinates (°E)","wkt"
1,"Acerra sink","40.948921","14.362410","POINT(40.948921 14.362410)"
2,"Acqua Fidia","40.928452","14.698266","POINT(40.928452 14.698266)"
3,"Capezzano","40.711931","14.768027","POINT(40.711931 14.768027)"
4,"Casola","40.699296","14.525934","POINT(40.699296 14.525934)"
5,"Castelcivita","40.495630","15.206956","POINT(40.495630 15.206956)"
6,"Copecchia","40.724912","14.754639","POINT(40.724912 14.754639)"
7,"Cuma","40.864608","14.052445","POINT(40.864608 14.052445)"
8,"Gulf of Naples","40.662357","13.857051","POINT(40.662357 13.857051)"
9,"Lago Patria","40.923785","14.028576","POINT(40.923785 14.028576)"
10,"Marina di Cassano","40.638534","14.399739","POINT(40.638534 14.399739)"
11,"Massaquano","40.662490","14.439663","POINT(40.662490 14.439663)"
12,"Monte Echia","40.833120","14.239647","POINT(40.833120 14.239647)"
13,"Lago Grande di Monticchio","40.931542","15.605692","POINT(40.931542 15.605692)"
14,"Monticchio","40.948108","15.556245","POINT(40.948108 15.556245)"
15,"Monticchio","40.933349","15.591245","POINT(40.933349 15.591245)"
16,"Murge","41.004737","16.283297","POINT(41.004737 16.283297)"
17,"Naples","40.853667","14.207988","POINT(40.853667 14.207988)"
18,"Pacognano","40.649749","14.400356","POINT(40.649749 14.400356)"
19,"Paglicci","41.672619","14.070017","POINT(41.672619 14.070017)"
20,"Pellezzano","40.724912","14.754639","POINT(40.724912 14.754639)"
21,"Penta","40.761542","14.797926","POINT(40.761542 14.797926)"
22,"Phlegraean Fields","40.824092","14.006678","POINT(40.824092 14.006678)"
23,"Ponti Rossi","40.873050","14.259352","POINT(40.873050 14.259352)"
24,"Pozzuoli","40.821537","14.088986","POINT(40.821537 14.088986)"
25,"Pucara","40.635215","14.485843","POINT(40.635215 14.485843)"
26,"Punta Marmolite","40.883029","14.094006","POINT(40.883029 14.094006)"
27,"Sant‘ Agata dei due Golfi","40.605667","14.365262","POINT(40.605667 14.365262)"
28,"Sant‘ Angelo a Scala","40.962500","14.896712","POINT(40.962500 14.896712)"
29,"San Marco","41.036930","14.338069","POINT(41.036930 14.338069)"
30,"San Nicola La Strada","41.050134","14.317772","POINT(41.050134 14.317772)"
31,"Scarafea","40.934624","14.156011","POINT(40.934624 14.156011)"
32,"Serino","40.857795","14.789093","POINT(40.857795 14.789093)"
33,"Starza","40.956596","14.696512","POINT(40.956596 14.696512)"
34,"Torregaveta","40.800740","14.011626","POINT(40.800740 14.011626)"
35,"Trefola","40.895245","14.142672","POINT(40.895245 14.142672)"
36,"Tufara","41.054918","14.679477","POINT(41.054918 14.679477)"
37,"Tufarella","40.761691","14.790612","POINT(40.761691 14.790612)"
38,"Vico Equense","40.662246","14.427303","POINT(40.662246 14.427303)"
39,"Villa di Briano","41.001874","14.149332","POINT(41.001874 14.149332)"
40,"Voscone","40.800514","14.519395","POINT(40.800514 14.519395)"
41,"Albania Lake Ohrid","41.037140","20.431837","POINT(41.037140 20.431837)"
42,"Bulgaria Kozarnika","43.654874","22.632873","POINT(43.654874 22.632873)"
43,"Bulgaria Temnata","43.146398","23.922981","POINT(43.146398 23.922981)"
44,"Bulgaria Toplitsa","43.025771","22.969070","POINT(43.025771 22.969070)"
45,"Greece Franchthi","37.416509","21.812507","POINT(37.416509 21.812507)"
46,"Greece Klissoura","40.536072","21.467224","POINT(40.536072 21.467224)"
47,"Greece Tenaghi Philippon","41.024391","24.330363","POINT(41.024391 24.330363)"
48,"Croatia Susak","44.510487","14.292151","POINT(44.510487 14.292151)"
49,"Macedonia Lake Ohrid","41.037411","20.578824","POINT(41.037411 20.578824)"
50,"Macedonia Golema Pesht","41.558982","21.255620","POINT(41.558982 21.255620)"
51,"Montenegro Crvena Stiljena","42.249956","18.892128","POINT(42.249956 18.892128)"
52,"Romania Urluia","44.094695","27.902121","POINT(44.094695 27.902121)"
53,"Romania Dobrogea","43.999638","28.232853","POINT(43.999638 28.232853)"
54,"Romania Vlasca","44.392114","27.849056","POINT(44.392114 27.849056)"
56,"Romania Bratul Borcea","44.189106","27.327116","POINT(44.189106 27.327116)"
57,"Romania Balta Alba Kurgan","45.303696","27.247805","POINT(45.303696 27.247805)"
60,"Russia Kostenki","51.413584","38.921606","POINT(51.413584 38.921606)"
61,"Serbia Kisiljevo","44.739742","21.391153","POINT(44.739742 21.391153)"
62,"Serbia Tabula Traiana","44.657061","22.307921","POINT(44.657061 22.307921)"
63,"Serbia Titel","45.207046","20.307507","POINT(45.207046 20.307507)"
65,"Libya Haua-Fteah","32.900174","22.049423","POINT(32.900174 22.049423)"
